categories,name,rating,review_count,location,coordinates,city
['Cocktail Bars'],Blackbird Ordinary,4.0,693,"{'address1': '729 SW 1st Ave', 'address2': '', 'address3': '', 'city': 'Miami', 'zip_code': '33130', 'country': 'US', 'state': 'FL', 'display_address': ['729 SW 1st Ave', 'Miami, FL 33130']}","{'latitude': 25.7667361051623, 'longitude': -80.195119}",Miami
"['Italian', 'Lounges', 'Tapas/Small Plates']",Barsecco,4.0,1012,"{'address1': '1421 S Miami Ave', 'address2': '', 'address3': '', 'city': 'Miami', 'zip_code': '33130', 'country': 'US', 'state': 'FL', 'display_address': ['1421 S Miami Ave', 'Miami, FL 33130']}","{'latitude': 25.760386202257987, 'longitude': -80.19331385828343}",Miami
"['Tobacco Shops', 'Cigar Bars']",Cuban Crafters Cigars,4.0,147,"{'address1': '3604 NW 7th St', 'address2': '', 'address3': '', 'city': 'Miami', 'zip_code': '33125', 'country': 'US', 'state': 'FL', 'display_address': ['3604 NW 7th St', 'Miami, FL 33125']}","{'latitude': 25.778768, 'longitude': -80.253616}",Miami
"['German', 'Wine Bars', 'Soup']",Old Heidelberg,4.0,517,"{'address1': '900 W State Rd 84', 'address2': None, 'address3': '', 'city': 'Fort Lauderdale', 'zip_code': '33315', 'country': 'US', 'state': 'FL', 'display_address': ['900 W State Rd 84', 'Fort Lauderdale, FL 33315']}","{'latitude': 26.092088207232262, 'longitude': -80.15317098463674}",Miami
"['Italian', 'Cafes', 'Cocktail Bars']",Segafredo L'Originale,4.0,326,"{'address1': '1040 Lincoln Rd', 'address2': '', 'address3': '', 'city': 'Miami Beach', 'zip_code': '33139', 'country': 'US', 'state': 'FL', 'display_address': ['1040 Lincoln Rd', 'Miami Beach, FL 33139']}","{'latitude': 25.79031337386699, 'longitude': -80.13969244973948}",Miami
"['Mexican', 'Bars']",Pez Loco Restaurant & Tequila Bar,4.0,18,"{'address1': '50 NW 24th St', 'address2': 'Ste 101', 'address3': '', 'city': 'Miami', 'zip_code': '33127', 'country': 'US', 'state': 'FL', 'display_address': ['50 NW 24th St', 'Ste 101', 'Miami, FL 33127']}","{'latitude': 25.7996197, 'longitude': -80.1959626}",Miami
"['Bars', 'Jazz & Blues']",Coquitos,4.0,9,"{'address1': '2020 Hollywood Blvd', 'address2': None, 'address3': '', 'city': 'Hollywood', 'zip_code': '33020', 'country': 'US', 'state': 'FL', 'display_address': ['2020 Hollywood Blvd', 'Hollywood, FL 33020']}","{'latitude': 26.01107, 'longitude': -80.14787}",Miami
"['Asian Fusion', 'Lounges', 'Cocktail Bars']",Komodo,4.0,2105,"{'address1': '801 Brickell Ave', 'address2': None, 'address3': '', 'city': 'Miami', 'zip_code': '33131', 'country': 'US', 'state': 'FL', 'display_address': ['801 Brickell Ave', 'Miami, FL 33131']}","{'latitude': 25.7653468682438, 'longitude': -80.1906713264588}",Miami
"['Caribbean', 'Latin American', 'Cocktail Bars']",Matador Room,4.0,542,"{'address1': '2901 Collins Ave', 'address2': '', 'address3': '', 'city': 'Miami Beach', 'zip_code': '33140', 'country': 'US', 'state': 'FL', 'display_address': ['2901 Collins Ave', 'Miami Beach, FL 33140']}","{'latitude': 25.80515, 'longitude': -80.12412}",Miami
"['Mexican', 'Cocktail Bars']",Chabella Miami,4.0,97,"{'address1': '7910 NW 25th St', 'address2': 'Ste 102', 'address3': '', 'city': 'Doral', 'zip_code': '33122', 'country': 'US', 'state': 'FL', 'display_address': ['7910 NW 25th St', 'Ste 102', 'Doral, FL 33122']}","{'latitude': 25.7964528, 'longitude': -80.3257497}",Miami
"['American (New)', 'Cocktail Bars']",Twenty Seven Restaurant & Bar,4.0,613,"{'address1': '2727 Indian Creek Dr', 'address2': '', 'address3': '', 'city': 'Miami Beach', 'zip_code': '33140', 'country': 'US', 'state': 'FL', 'display_address': ['2727 Indian Creek Dr', 'Miami Beach, FL 33140']}","{'latitude': 25.8042184984806, 'longitude': -80.1266468742744}",Miami
"['Sushi Bars', 'Asian Fusion', 'Cocktail Bars']",Pubbelly Sushi Dadeland,4.0,416,"{'address1': '8970 SW 72nd Pl', 'address2': '', 'address3': None, 'city': 'Kendall', 'zip_code': '33156', 'country': 'US', 'state': 'FL', 'display_address': ['8970 SW 72nd Pl', 'Kendall, FL 33156']}","{'latitude': 25.6870088948878, 'longitude': -80.3130254478157}",Miami
"['Cocktail Bars', 'American (New)', 'Ramen']",Baby Jane,4.0,465,"{'address1': '500 Brickell Ave', 'address2': 'Ste 105E', 'address3': '', 'city': 'Miami', 'zip_code': '33131', 'country': 'US', 'state': 'FL', 'display_address': ['500 Brickell Ave', 'Ste 105E', 'Miami, FL 33131']}","{'latitude': 25.76832, 'longitude': -80.190789}",Miami
"['Argentine', 'Juice Bars & Smoothies', 'Wine Bars']",Bodegon 71,4.0,66,"{'address1': '1014 71st St', 'address2': '', 'address3': '', 'city': 'Miami Beach', 'zip_code': '33141', 'country': 'US', 'state': 'FL', 'display_address': ['1014 71st St', 'Miami Beach, FL 33141']}","{'latitude': 25.85499, 'longitude': -80.128891}",Miami
"['Burgers', 'Beer Bar', 'Chicken Wings']",Burgermeister - Brickell,4.0,97,"{'address1': '1111 SW 1st Ave', 'address2': '', 'address3': '', 'city': 'Miami', 'zip_code': '33130', 'country': 'US', 'state': 'FL', 'display_address': ['1111 SW 1st Ave', 'Miami, FL 33130']}","{'latitude': 25.76275, 'longitude': -80.19497}",Miami
"['Cocktail Bars', 'Lounges', 'American (New)']",Bar Collins at Loews Miami,4.0,72,"{'address1': '1601 Collins Ave', 'address2': '', 'address3': None, 'city': 'Miami Beach', 'zip_code': '33139', 'country': 'US', 'state': 'FL', 'display_address': ['1601 Collins Ave', 'Miami Beach, FL 33139']}","{'latitude': 25.7886086035362, 'longitude': -80.1294270721148}",Miami
['Cocktail Bars'],Fat Tuesday at Bayside Marketplace Level 2 Miami,4.0,40,"{'address1': '401 Biscayne Blvd', 'address2': 'Ste 2060 / N220', 'address3': '', 'city': 'Miami', 'zip_code': '33132', 'country': 'US', 'state': 'FL', 'display_address': ['401 Biscayne Blvd', 'Ste 2060 / N220', 'Miami, FL 33132']}","{'latitude': 25.77894979400145, 'longitude': -80.18788808664124}",Miami
"['Breweries', 'American (Traditional)', 'Pubs']",Titanic Brewery & Restaurant,4.0,487,"{'address1': '5813 Ponce De Leon Blvd', 'address2': '', 'address3': '', 'city': 'Coral Gables', 'zip_code': '33146', 'country': 'US', 'state': 'FL', 'display_address': ['5813 Ponce De Leon Blvd', 'Coral Gables, FL 33146']}","{'latitude': 25.71061, 'longitude': -80.2830312}",Miami
"['Wine Bars', 'Pizza', 'Italian']",Angelo Elia Pizza Bar Tapas,4.0,191,"{'address1': '1370 Weston Rd', 'address2': '', 'address3': '', 'city': 'Weston', 'zip_code': '33326', 'country': 'US', 'state': 'FL', 'display_address': ['1370 Weston Rd', 'Weston, FL 33326']}","{'latitude': 26.103552, 'longitude': -80.363535}",Miami
"['Sports Bars', 'American (Traditional)', 'Chicken Wings']",Old Tom's Sports Bar - Miami Springs,4.0,360,"{'address1': '5001 NW 36th St', 'address2': '', 'address3': '', 'city': 'Miami Springs', 'zip_code': '33166', 'country': 'US', 'state': 'FL', 'display_address': ['5001 NW 36th St', 'Miami Springs, FL 33166']}","{'latitude': 25.8081856553967, 'longitude': -80.278128638623}",Miami
"['Cocktail Bars', 'American (New)']",Beauty and The Butcher,4.0,46,"{'address1': '6915 Red Rd', 'address2': '', 'address3': None, 'city': 'Coral Gables', 'zip_code': '33146', 'country': 'US', 'state': 'FL', 'display_address': ['6915 Red Rd', 'Coral Gables, FL 33146']}","{'latitude': 25.704942, 'longitude': -80.285175}",Miami
['Tiki Bars'],Caribbean Resort Tiki Bar,4.0,61,"{'address1': '313 Hayes St', 'address2': '', 'address3': '', 'city': 'Hollywood', 'zip_code': '33019', 'country': 'US', 'state': 'FL', 'display_address': ['313 Hayes St', 'Hollywood, FL 33019']}","{'latitude': 26.0213159305153, 'longitude': -80.1154660061002}",Miami
"['Gastropubs', 'Bars', 'American (New)']",Tap 42 - Midtown Miami,4.0,701,"{'address1': '3252 NE 1st Ave', 'address2': 'Ste 101', 'address3': '', 'city': 'Miami', 'zip_code': '33137', 'country': 'US', 'state': 'FL', 'display_address': ['3252 NE 1st Ave', 'Ste 101', 'Miami, FL 33137']}","{'latitude': 25.807071, 'longitude': -80.193719}",Miami
"['Seafood', 'Bars', 'Venues & Event Spaces']",3030 Ocean Restaurant & Bar,4.0,316,"{'address1': '3030 Holiday Dr', 'address2': '', 'address3': '', 'city': 'Fort Lauderdale', 'zip_code': '33316', 'country': 'US', 'state': 'FL', 'display_address': ['3030 Holiday Dr', 'Fort Lauderdale, FL 33316']}","{'latitude': 26.10684267478461, 'longitude': -80.10625390743392}",Miami
"['American (New)', 'Lounges', 'Tapas Bars']",Madison’s Restaurant,4.0,15,"{'address1': '185 S E 14th Ter', 'address2': '', 'address3': '', 'city': 'Miami', 'zip_code': '33131', 'country': 'US', 'state': 'FL', 'display_address': ['185 S E 14th Ter', 'Miami, FL 33131']}","{'latitude': 25.75951, 'longitude': -80.19095}",Miami
"['Italian', 'Pizza', 'Bars']",Cucina Italiana Dania Beach ,4.0,133,"{'address1': '17 S Pointe Dr', 'address2': None, 'address3': '', 'city': 'Dania Beach', 'zip_code': '33004', 'country': 'US', 'state': 'FL', 'display_address': ['17 S Pointe Dr', 'Dania Beach, FL 33004']}","{'latitude': 26.051590700000123, 'longitude': -80.16000137055201}",Miami
"['Cocktail Bars', 'Beer Bar', 'Sandwiches']",The Corner,4.0,257,"{'address1': '1035 N Miami Ave', 'address2': '', 'address3': '', 'city': 'Miami', 'zip_code': '33136', 'country': 'US', 'state': 'FL', 'display_address': ['1035 N Miami Ave', 'Miami, FL 33136']}","{'latitude': 25.784664, 'longitude': -80.193863}",Miami
"['American (New)', 'Sports Bars', 'American (Traditional)']",Twin Peaks,4.0,682,"{'address1': '440 SW 145th Ave', 'address2': None, 'address3': None, 'city': 'Pembroke Pines', 'zip_code': '33027', 'country': 'US', 'state': 'FL', 'display_address': ['440 SW 145th Ave', 'Pembroke Pines, FL 33027']}","{'latitude': 26.004487, 'longitude': -80.33383828}",Miami
"['Sports Bars', 'American (Traditional)', 'Seafood']",Flanigan's Seafood Bar & Grill - Miramar,4.0,50,"{'address1': '11225 Miramar Pkwy', 'address2': '', 'address3': None, 'city': 'Miramar', 'zip_code': '33025', 'country': 'US', 'state': 'FL', 'display_address': ['11225 Miramar Pkwy', 'Miramar, FL 33025']}","{'latitude': 25.98003, 'longitude': -80.29608}",Miami
"['Sports Bars', 'American (Traditional)', 'Pool Halls']",The Cage Restaurant & Sports Bar,4.0,114,"{'address1': '6870 Stirling Rd', 'address2': None, 'address3': None, 'city': 'Hollywood', 'zip_code': '33024', 'country': 'US', 'state': 'FL', 'display_address': ['6870 Stirling Rd', 'Hollywood, FL 33024']}","{'latitude': 26.04563, 'longitude': -80.22586}",Miami
"['Cocktail Bars', 'Seafood', 'Cajun/Creole']",Hook & Reel,4.0,267,"{'address1': '7841 Pines Blvd', 'address2': '', 'address3': None, 'city': 'Pembroke Pines', 'zip_code': '33024', 'country': 'US', 'state': 'FL', 'display_address': ['7841 Pines Blvd', 'Pembroke Pines, FL 33024']}","{'latitude': 26.01035, 'longitude': -80.24596}",Miami
"['Cigar Bars', 'Lounges']",The Garden Cigar & Whiskey Lounge,4.0,14,"{'address1': '19801 NW 27th Ave', 'address2': None, 'address3': '', 'city': 'Miami Gardens', 'zip_code': '33056', 'country': 'US', 'state': 'FL', 'display_address': ['19801 NW 27th Ave', 'Miami Gardens, FL 33056']}","{'latitude': 25.954989, 'longitude': -80.245368}",Miami
"['Latin American', 'Lounges']",4100 Restaurant & Lounge,4.0,14,"{'address1': '4100 W Flagler St', 'address2': None, 'address3': '', 'city': 'Miami', 'zip_code': '33134', 'country': 'US', 'state': 'FL', 'display_address': ['4100 W Flagler St', 'Miami, FL 33134']}","{'latitude': 25.7712097167969, 'longitude': -80.2629165649414}",Miami
"['American (New)', 'Breakfast & Brunch', 'Cocktail Bars']",Orange Blossom,4.0,1105,"{'address1': '2000 Collins Ave', 'address2': 'Ste 7', 'address3': '', 'city': 'Miami Beach', 'zip_code': '33139', 'country': 'US', 'state': 'FL', 'display_address': ['2000 Collins Ave', 'Ste 7', 'Miami Beach, FL 33139']}","{'latitude': 25.796009, 'longitude': -80.12907}",Miami
"['Dive Bars', 'Sports Bars']",Billy's Pub Too,4.0,107,"{'address1': '732 NE 125th St', 'address2': '', 'address3': '', 'city': 'North Miami', 'zip_code': '33161', 'country': 'US', 'state': 'FL', 'display_address': ['732 NE 125th St', 'North Miami, FL 33161']}","{'latitude': 25.8901499, 'longitude': -80.18403}",Miami
"['Pizza', 'Cocktail Bars', 'Salad']",Piola,4.0,225,"{'address1': '1950 NW 87th Ave', 'address2': '', 'address3': '', 'city': 'Doral', 'zip_code': '33172', 'country': 'US', 'state': 'FL', 'display_address': ['1950 NW 87th Ave', 'Doral, FL 33172']}","{'latitude': 25.792721, 'longitude': -80.337669}",Miami
"['Gay Bars', 'Breakfast & Brunch', 'Dance Clubs']",Palace Bar,4.0,610,"{'address1': '1052 Ocean Dr', 'address2': '', 'address3': None, 'city': 'Miami Beach', 'zip_code': '33139', 'country': 'US', 'state': 'FL', 'display_address': ['1052 Ocean Dr', 'Miami Beach, FL 33139']}","{'latitude': 25.78105, 'longitude': -80.13065}",Miami
"['American (New)', 'Beer Bar', 'Chicken Wings']",World of Beer,4.0,194,"{'address1': '11225 Miramar Pkwy', 'address2': 'Ste B295', 'address3': '', 'city': 'Miramar', 'zip_code': '33025', 'country': 'US', 'state': 'FL', 'display_address': ['11225 Miramar Pkwy', 'Ste B295', 'Miramar, FL 33025']}","{'latitude': 25.980132274670872, 'longitude': -80.29605732021267}",Miami
"['Fast Food', 'Sports Bars', 'Colombian']",5inco Restaurant,4.0,32,"{'address1': '8081 W 28th Ave', 'address2': None, 'address3': '', 'city': 'Hialeah', 'zip_code': '33016', 'country': 'US', 'state': 'FL', 'display_address': ['8081 W 28th Ave', 'Hialeah, FL 33016']}","{'latitude': 25.895459952453866, 'longitude': -80.3389786}",Miami
"['Greek', 'Mediterranean', 'Lounges']",Sea Grill,4.0,120,"{'address1': '4250 Salzedo St', 'address2': 'Ste 1425', 'address3': '', 'city': 'Coral Gables', 'zip_code': '33146', 'country': 'US', 'state': 'FL', 'display_address': ['4250 Salzedo St', 'Ste 1425', 'Coral Gables, FL 33146']}","{'latitude': 25.7327, 'longitude': -80.26006}",Miami
"['Mexican', 'Sports Bars', 'Cocktail Bars']",Talavera Cocina Mexicana,4.0,859,"{'address1': '2299 Ponce De Leon Blvd', 'address2': '', 'address3': '', 'city': 'Coral Gables', 'zip_code': '33134', 'country': 'US', 'state': 'FL', 'display_address': ['2299 Ponce De Leon Blvd', 'Coral Gables, FL 33134']}","{'latitude': 25.7513789, 'longitude': -80.2585305}",Miami
"['Sports Bars', 'American (Traditional)']",Twin Peaks,4.0,189,"{'address1': '1903 Hollywood Blvd', 'address2': '', 'address3': '', 'city': 'Hollywood', 'zip_code': '33020', 'country': 'US', 'state': 'FL', 'display_address': ['1903 Hollywood Blvd', 'Hollywood, FL 33020']}","{'latitude': 26.01181, 'longitude': -80.14524}",Miami
"['Sports Bars', 'American (Traditional)', 'Chicken Wings']",Sports Grill - Sunset,4.0,346,"{'address1': '10005 SW 72nd St', 'address2': '', 'address3': '', 'city': 'Miami', 'zip_code': '33173', 'country': 'US', 'state': 'FL', 'display_address': ['10005 SW 72nd St', 'Miami, FL 33173']}","{'latitude': 25.701709774213974, 'longitude': -80.35639504898691}",Miami
"['Dive Bars', 'American (Traditional)']",Wayside Inn,4.0,18,"{'address1': '38 NE 1st Ave', 'address2': '', 'address3': '', 'city': 'Dania', 'zip_code': '33004', 'country': 'US', 'state': 'FL', 'display_address': ['38 NE 1st Ave', 'Dania, FL 33004']}","{'latitude': 26.0538845062256, 'longitude': -80.1427993774414}",Miami
"['Cocktail Bars', 'Tacos']",The Anderson,4.0,297,"{'address1': '709 NE 79th St', 'address2': None, 'address3': None, 'city': 'Miami', 'zip_code': '33138', 'country': 'US', 'state': 'FL', 'display_address': ['709 NE 79th St', 'Miami, FL 33138']}","{'latitude': 25.848078, 'longitude': -80.182282}",Miami
"['Spanish', 'Wine Bars', 'Music Venues']",Paco's Way - Miami,4.0,46,"{'address1': '45 Curtiss Pkwy', 'address2': '', 'address3': None, 'city': 'Miami Springs', 'zip_code': '33166', 'country': 'US', 'state': 'FL', 'display_address': ['45 Curtiss Pkwy', 'Miami Springs, FL 33166']}","{'latitude': 25.82153, 'longitude': -80.28092}",Miami
"['Dive Bars', 'Pool Halls', 'Sports Bars']",Dewey's F'ing Bar,4.0,17,"{'address1': '852 Alton Rd', 'address2': '', 'address3': '', 'city': 'Miami Beach', 'zip_code': '33139', 'country': 'US', 'state': 'FL', 'display_address': ['852 Alton Rd', 'Miami Beach, FL 33139']}","{'latitude': 25.7791443361658, 'longitude': -80.1410834491253}",Miami
"['Sports Bars', 'Pool Halls', 'Hookah Bars']",Doral Billiards & Sports Lounge,4.0,141,"{'address1': '7800 NW 25th St', 'address2': '', 'address3': '', 'city': 'Doral', 'zip_code': '33122', 'country': 'US', 'state': 'FL', 'display_address': ['7800 NW 25th St', 'Doral, FL 33122']}","{'latitude': 25.79639, 'longitude': -80.32337}",Miami
"['Italian', 'Cocktail Bars']",Gusto RistoBar,4.0,233,"{'address1': '8550 NW 53rd St', 'address2': 'Unit B-107', 'address3': None, 'city': 'Doral', 'zip_code': '33166', 'country': 'US', 'state': 'FL', 'display_address': ['8550 NW 53rd St', 'Unit B-107', 'Doral, FL 33166']}","{'latitude': 25.8196396507356, 'longitude': -80.336866045746}",Miami
['Dive Bars'],Josie's Too,4.0,11,"{'address1': '2660 Griffin Rd', 'address2': '', 'address3': '', 'city': 'Dania Beach', 'zip_code': '33312', 'country': 'US', 'state': 'FL', 'display_address': ['2660 Griffin Rd', 'Dania Beach, FL 33312']}","{'latitude': 26.062274, 'longitude': -80.176183}",Miami
['Airport Lounges'],VIP Lounge Latam,4.0,11,"{'address1': '2100 NW 42nd Ave', 'address2': None, 'address3': 'South Terminal J', 'city': 'Miami', 'zip_code': '33136', 'country': 'US', 'state': 'FL', 'display_address': ['2100 NW 42nd Ave', 'South Terminal J', 'Miami, FL 33136']}","{'latitude': 25.7938437772629, 'longitude': -80.2733076488113}",Miami
['Bars'],Tekila Bar Club,4.0,44,"{'address1': '1926 Hollywood Blvd', 'address2': None, 'address3': '', 'city': 'Hollywood', 'zip_code': '33020', 'country': 'US', 'state': 'FL', 'display_address': ['1926 Hollywood Blvd', 'Hollywood, FL 33020']}","{'latitude': 26.01112, 'longitude': -80.14606}",Miami
"['Pizza', 'Italian', 'Bars']",Piola - Brickell,4.0,513,"{'address1': '1250 S Miami Ave', 'address2': '', 'address3': '', 'city': 'Miami', 'zip_code': '33130', 'country': 'US', 'state': 'FL', 'display_address': ['1250 S Miami Ave', 'Miami, FL 33130']}","{'latitude': 25.7620831936917, 'longitude': -80.1932094772461}",Miami
"['Seafood', 'Cajun/Creole', 'Sports Bars']",Crazy Crab,4.0,49,"{'address1': '8800 W State Rd 84', 'address2': None, 'address3': '', 'city': 'Davie', 'zip_code': '33324', 'country': 'US', 'state': 'FL', 'display_address': ['8800 W State Rd 84', 'Davie, FL 33324']}","{'latitude': 26.102162215909186, 'longitude': -80.2662668023605}",Miami
['Pubs'],Gaffers Pub,4.0,16,"{'address1': '5759 S University Dr', 'address2': None, 'address3': None, 'city': 'Davie', 'zip_code': '33328', 'country': 'US', 'state': 'FL', 'display_address': ['5759 S University Dr', 'Davie, FL 33328']}","{'latitude': 26.049377, 'longitude': -80.252978}",Miami
"['Pizza', 'Beer Bar', 'Empanadas']",Itálica Aventura,4.0,53,"{'address1': '18841 Biscayne Blvd', 'address2': 'Ste 130', 'address3': None, 'city': 'Aventura', 'zip_code': '33180', 'country': 'US', 'state': 'FL', 'display_address': ['18841 Biscayne Blvd', 'Ste 130', 'Aventura, FL 33180']}","{'latitude': 25.950197, 'longitude': -80.144163}",Miami
"['Sports Bars', 'Burgers', 'Chicken Wings']",Rickey's Restaurant & Lounge,4.0,184,"{'address1': '4799 Hollywood Blvd', 'address2': '', 'address3': '', 'city': 'Hollywood', 'zip_code': '33021', 'country': 'US', 'state': 'FL', 'display_address': ['4799 Hollywood Blvd', 'Hollywood, FL 33021']}","{'latitude': 26.0107399, 'longitude': -80.1915}",Miami
"['Mexican', 'Bar Crawl', 'Cocktail Bars']",Coyo Taco,4.0,1766,"{'address1': '2300 NW 2nd Ave', 'address2': 'Ste 3', 'address3': '', 'city': 'Miami', 'zip_code': '33127', 'country': 'US', 'state': 'FL', 'display_address': ['2300 NW 2nd Ave', 'Ste 3', 'Miami, FL 33127']}","{'latitude': 25.7996879220934, 'longitude': -80.1991713585798}",Miami
"['Steakhouses', 'Seafood', 'Wine Bars']",Ruth's Chris Steak House,4.0,445,"{'address1': '2320 Salzedo St', 'address2': '', 'address3': '', 'city': 'Coral Gables', 'zip_code': '33134', 'country': 'US', 'state': 'FL', 'display_address': ['2320 Salzedo St', 'Coral Gables, FL 33134']}","{'latitude': 25.7504747635622, 'longitude': -80.2610157430172}",Miami
"['Pizza', 'Italian', 'Wine Bars']",Marino's,4.0,251,"{'address1': '13821 SW 88th St', 'address2': '', 'address3': '', 'city': 'Miami', 'zip_code': '33186', 'country': 'US', 'state': 'FL', 'display_address': ['13821 SW 88th St', 'Miami, FL 33186']}","{'latitude': 25.685925294241102, 'longitude': -80.41954609094563}",Miami
"['Tobacco Shops', 'Wine Bars']",Cigar Room Davie,4.0,5,"{'address1': '6341 Stirling Rd', 'address2': None, 'address3': '', 'city': 'Davie', 'zip_code': '33314', 'country': 'US', 'state': 'FL', 'display_address': ['6341 Stirling Rd', 'Davie, FL 33314']}","{'latitude': 26.046457, 'longitude': -80.23052}",Miami
"['Sushi Bars', 'Japanese', 'Wine Bars']",Omakai Sushi,4.0,10,"{'address1': '3304 Mary St', 'address2': None, 'address3': '', 'city': 'Miami', 'zip_code': '33133', 'country': 'US', 'state': 'FL', 'display_address': ['3304 Mary St', 'Miami, FL 33133']}","{'latitude': 25.72984, 'longitude': -80.23964}",Miami
"['Steakhouses', 'Wine Bars', 'Argentine']",Graziano's in Hialeah,4.0,134,"{'address1': '5993 West 16th Ave', 'address2': '', 'address3': '', 'city': 'Hialeah', 'zip_code': '33012', 'country': 'US', 'state': 'FL', 'display_address': ['5993 West 16th Ave', 'Hialeah, FL 33012']}","{'latitude': 25.8768, 'longitude': -80.31472}",Miami
"['Tacos', 'Cocktail Bars']",La Santa Taqueria,4.0,228,"{'address1': '201 NE 82nd St', 'address2': '', 'address3': None, 'city': 'Miami', 'zip_code': '33138', 'country': 'US', 'state': 'FL', 'display_address': ['201 NE 82nd St', 'Miami, FL 33138']}","{'latitude': 25.850032, 'longitude': -80.192692}",Miami
"['Chicken Wings', 'Irish Pub', 'Sports Bars']",Bryson's Irish Pub,4.0,148,"{'address1': '3790 Curtiss Pkwy', 'address2': '', 'address3': '', 'city': 'Virginia Gardens', 'zip_code': '33166', 'country': 'US', 'state': 'FL', 'display_address': ['3790 Curtiss Pkwy', 'Virginia Gardens, FL 33166']}","{'latitude': 25.80885429, 'longitude': -80.28940904}",Miami
['Lounges'],Wet Willie's,4.0,1149,"{'address1': '760 Ocean Dr', 'address2': '', 'address3': '', 'city': 'Miami Beach', 'zip_code': '33139', 'country': 'US', 'state': 'FL', 'display_address': ['760 Ocean Dr', 'Miami Beach, FL 33139']}","{'latitude': 25.777859, 'longitude': -80.13138}",Miami
"['Japanese', 'Cocktail Bars']",ETARU,4.0,522,"{'address1': '111 S Surf Rd', 'address2': None, 'address3': '', 'city': 'Hallandale Beach', 'zip_code': '33009', 'country': 'US', 'state': 'FL', 'display_address': ['111 S Surf Rd', 'Hallandale Beach, FL 33009']}","{'latitude': 25.98648, 'longitude': -80.117847}",Miami
"['Sports Bars', 'Dive Bars']",Ted's Hideaway,4.0,187,"{'address1': '124 2nd St', 'address2': '', 'address3': '', 'city': 'Miami Beach', 'zip_code': '33139', 'country': 'US', 'state': 'FL', 'display_address': ['124 2nd St', 'Miami Beach, FL 33139']}","{'latitude': 25.7707815617323, 'longitude': -80.1330227404833}",Miami
"['Latin American', 'Bars']",Amara at Paraiso,4.0,860,"{'address1': '3101 NE 7th Ave', 'address2': None, 'address3': None, 'city': 'Miami', 'zip_code': '33137', 'country': 'US', 'state': 'FL', 'display_address': ['3101 NE 7th Ave', 'Miami, FL 33137']}","{'latitude': 25.8066777, 'longitude': -80.1857104}",Miami
['Lounges'],Living Room at the W,4.0,52,"{'address1': '2201 Collins Ave', 'address2': '', 'address3': 'W South Beach', 'city': 'Miami Beach', 'zip_code': '33139', 'country': 'US', 'state': 'FL', 'display_address': ['2201 Collins Ave', 'W South Beach', 'Miami Beach, FL 33139']}","{'latitude': 25.7974767815898, 'longitude': -80.1274301042282}",Miami
"['Pubs', 'Hot Dogs', 'Sandwiches']",Hole in the Wall,4.0,103,"{'address1': '14421 S Dixie Hwy', 'address2': '', 'address3': '', 'city': 'Miami', 'zip_code': '33176', 'country': 'US', 'state': 'FL', 'display_address': ['14421 S Dixie Hwy', 'Miami, FL 33176']}","{'latitude': 25.6355943637388, 'longitude': -80.3361650991974}",Miami
"['Sushi Bars', 'Comfort Food', 'Cocktail Bars']",Negroni,4.0,251,"{'address1': '3201 Buena Vista Blvd', 'address2': None, 'address3': '', 'city': 'Miami', 'zip_code': '33127', 'country': 'US', 'state': 'FL', 'display_address': ['3201 Buena Vista Blvd', 'Miami, FL 33127']}","{'latitude': 25.8069196618427, 'longitude': -80.1938233170383}",Miami
"['Sports Bars', 'American (Traditional)']",Hammocks Grill,4.0,190,"{'address1': '14617 SW 104th St', 'address2': '', 'address3': '', 'city': 'The Hammocks', 'zip_code': '33186', 'country': 'US', 'state': 'FL', 'display_address': ['14617 SW 104th St', 'The Hammocks, FL 33186']}","{'latitude': 25.6710843727519, 'longitude': -80.4305449332402}",Miami
"['American (New)', 'Cocktail Bars']",Earls Kitchen + Bar,4.0,1602,"{'address1': '7535 N Kendall Dr', 'address2': 'Unit 2510', 'address3': '', 'city': 'Miami', 'zip_code': '33156', 'country': 'US', 'state': 'FL', 'display_address': ['7535 N Kendall Dr', 'Unit 2510', 'Miami, FL 33156']}","{'latitude': 25.6895055979133, 'longitude': -80.3128469801483}",Miami
"['American (Traditional)', 'Breakfast & Brunch', 'Bars']",11th Street Diner,4.0,868,"{'address1': '1065 Washington Ave', 'address2': '', 'address3': '', 'city': 'Miami Beach', 'zip_code': '33139', 'country': 'US', 'state': 'FL', 'display_address': ['1065 Washington Ave', 'Miami Beach, FL 33139']}","{'latitude': 25.78179321, 'longitude': -80.13236529}",Miami
"['Mexican', 'Fast Food', 'Bar Crawl']",Coyo Taco,4.0,568,"{'address1': '1111 SW 1st Ave', 'address2': '', 'address3': '', 'city': 'Miami', 'zip_code': '33130', 'country': 'US', 'state': 'FL', 'display_address': ['1111 SW 1st Ave', 'Miami, FL 33130']}","{'latitude': 25.7627701936588, 'longitude': -80.1949488690338}",Miami
"['Steakhouses', 'Argentine', 'Cocktail Bars']",Los Parrilleros,4.0,212,"{'address1': '10775 NW 41st St', 'address2': '', 'address3': '', 'city': 'Doral', 'zip_code': '33178', 'country': 'US', 'state': 'FL', 'display_address': ['10775 NW 41st St', 'Doral, FL 33178']}","{'latitude': 25.81217, 'longitude': -80.37173}",Miami
